Movie ID,Title,Directors,Top Cast
372058,Your Name.,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yuki, Nobunaga Shimazaki"
285,Pirates of the Caribbean: At World's End,Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport"
818647,Through My Window,Marçal Forés,"Clara Galle, Julio Peña, Guillermo Lasheras, Natalia Azahara, Hugo Arbues"
14160,Up,Pete Docter,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo"
419430,Get Out,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones"
333339,Ready Player One,Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller"
298618,The Flash,Andy Muschietti,"Ezra Miller, Sasha Calle, Michael Keaton, Michael Shannon, Ron Livingston"
493922,Hereditary,Ari Aster,"Toni Collette, Alex Wolff, Gabriel Byrne, Milly Shapiro, Ann Dowd"
769,GoodFellas,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino"
10192,Shrek Forever After,Mike Mitchell,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Walt Dohrn"
1129598,Prey,Mukunda Michael Dewil,"Ryan Phillippe, Emile Hirsch, Mena Suvari, Dylan Flashner, Tristan Thompson"
566525,Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,"Simu Liu, Tony Leung, Awkwafina, Ben Kingsley, Meng'er Zhang"
1272149,Bridget Jones: Mad About the Boy,Michael Morris,"Renée Zellweger, Chiwetel Ejiofor, Leo Woodall, Hugh Grant, Jim Broadbent"
497698,Black Widow,Cate Shortland,"Scarlett Johansson, Florence Pugh, Rachel Weisz, David Harbour, Ray Winstone"
829560,The Next 365 Days,"Tomasz Mandes, Barbara Białowąs","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska, Otar Saralidze"
284054,Black Panther,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman"
1063877,Don't Move,"Adam Schindler, Brian Netto","Kelsey Asbille, Finn Wittrock, Moray Treadwell, Daniel Francis, Denis Kostadinov"
974262,Descendants: The Rise of Red,Jennifer Phang,"Kylie Cantrall, Malia Baker, Ruby Rose Turner, Morgan Dudley, Dara Reneé"
38365,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider"
1079091,It Ends with Us,Justin Baldoni,"Blake Lively, Justin Baldoni, Jenny Slate, Brandon Sklenar, Hasan Minhaj"
787699,Wonka,Paul King,"Timothée Chalamet, Calah Lane, Keegan-Michael Key, Hugh Grant, Paterson Joseph"
11,Star Wars,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness"
131631,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks"
9806,The Incredibles,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Spencer Fox, Jason Lee"
384018,Fast & Furious Presents: Hobbs & Shaw,David Leitch,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby, Helen Mirren"
398978,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano"
1450436,Puri for Rent,,"Aiko Garcia, Marlon Marcia, Van Allen Ong"
575265,Mission: Impossible - The Final Reckoning,Christopher McQuarrie,"Tom Cruise, Ving Rhames, Simon Pegg, Hayley Atwell, Vanessa Kirby"
1299652,Watchmen: Chapter II,Brandon Vietti,"Troy Baker, Adrienne Barbeau, Michael Cerveris, Zehra Fazal, Phil Fondacaro"
1371727,Sing: Thriller,Garth Jennings,"Matthew McConaughey, Tori Kelly, Nick Kroll, Scarlett Johansson, Taron Egerton"
742317,Adult Children Games,Ilya Kazankov,"Natalya Burmistrova, Oleg Fyodorov, Rina Grishina, Aleksandr Bolshakov, Anna Donchenko"
726139,Project Silence,Kim Tae-gon,"Lee Sun-kyun, Ju Ji-hoon, Kim Hee-won, Moon Sung-keun, Ye Su-jeong"
1323784,Bad Influence,Chloé Wallace,"Alberto Olmo, Eléa Rochera, Enrique Arce, Mirela Balić, Farid Bechara"
968051,The Nun II,Michael Chaves,"Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell, Bonnie Aarons"
85,Raiders of the Lost Ark,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, Ronald Lacey"
1013850,A Real Pain,Jesse Eisenberg,"Jesse Eisenberg, Kieran Culkin, Will Sharpe, Jennifer Grey, Kurt Egyiawan"
205596,The Imitation Game,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear, Allen Leech"
315635,Spider-Man: Homecoming,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei, Jon Favreau"
102651,Maleficent,Robert Stromberg,"Angelina Jolie, Elle Fanning, Imelda Staunton, Sharlto Copley, Lesley Manville"
1214508,Sujo,"Astrid Rondero, Fernanda Valadez","Juan Jesús Varela, Yadira Pérez, Sandra Lorenzano, Alexis Varela, Jhon Jairo Hernández"
592983,Spellbound,Vicky Jenson,"Rachel Zegler, Miguel Bernardeau, Giovanna Bush, Dennis Stowe, Jenifer Lewis"
10681,WALL·E,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, John Ratzenberger"
995984,Motherhood,Ryuichi Hiroki,"Erika Toda, Mei Nagano, Mao Daichi, Masaki Miura, Yuri Nakamura"
